RECORDING_SESSION_LABEL,item,passage,part,level,TRIAL_INDEX,ANS,total_comp,IA_ID,ia_label,punct,obj_len,part_status,len_check,trac_loss,POS,total_lines,line,line_from_top,line_from_bottom,total_words_line,line_pos,line_pos_from_left,line_pos_from_right,paragraph,part_len,IA_SKIP,ff_index,ff_duration,ff_xpos,ff_lp,gaze,gaze_fix_count,rb_reading,go_past,fp_reg,fp_reg_count,total_reg_out_count,total_fix_count,total_time,trial_total_time,trial_total_fix_count,trial_mean_fix_duration,trial_per_word_fix,trial_rt,trial_per_word_rt,prev_fix_xpos,launch_site_pix,launch_site_char
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,1,"Finland,",COM,8,complete,NO,0,NNP,13,1,0,12,13,1,0,12,1,147,0,2,129,178.3,6,336,2,336,336,0,0,0,2,336,30695,162,189,1.1,37310,254,.,.,.
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,2,a,.,1,complete,NO,0,DT,13,1,0,12,13,2,1,11,1,147,0,4,141,236.6,1,141,1,141,141,0,0,0,1,141,30695,162,189,1.1,37310,254,155.4,63.1,6
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,3,country,.,7,complete,NO,0,NN,13,1,0,12,13,3,2,10,1,147,0,5,196,289.3,5,196,1,196,196,0,0,0,1,196,30695,162,189,1.1,37310,254,236.6,5.9,1
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,4,in,.,2,complete,NO,0,IN,13,1,0,12,13,4,3,9,1,147,0,6,166,356.1,2,166,1,166,166,0,0,0,1,166,30695,162,189,1.1,37310,254,289.3,41.2,4
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,5,northern,.,8,complete,NO,0,JJ,13,1,0,12,13,5,4,8,1,147,0,7,293,431.4,7,293,1,293,293,0,0,0,1,293,30695,162,189,1.1,37310,254,356.1,7.4,1
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,6,"Europe,",COM,7,complete,NO,0,NNP,13,1,0,12,13,6,5,7,1,147,0,8,437,519.6,6,437,1,437,437,0,0,0,1,437,30695,162,189,1.1,37310,254,431.4,31.1,3
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,7,has,.,3,complete,NO,0,VBZ,13,1,0,12,13,7,6,6,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,30695,162,189,1.1,37310,254,.,.,.
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,8,been,.,4,complete,NO,0,VBN,13,1,0,12,13,8,7,5,1,147,0,9,192,634.6,4,192,1,192,192,0,0,0,1,192,30695,162,189,1.1,37310,254,519.6,73.9,7
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,9,ranked,.,6,complete,NO,0,VBN,13,1,0,12,13,9,8,4,1,147,0,10,236,705.1,6,236,1,236,236,0,0,0,1,236,30695,162,189,1.1,37310,254,634.6,14.9,2
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,10,as,.,2,complete,NO,0,IN,13,1,0,12,13,10,9,3,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,30695,162,189,1.1,37310,254,.,.,.
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,11,having,.,6,complete,NO,0,VBG,13,1,0,12,13,11,10,2,1,147,0,11,394,796,4,527,2,527,527,0,0,0,2,527,30695,162,189,1.1,37310,254,705.1,53.4,5
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,12,the,.,3,complete,NO,0,DT,13,1,0,12,13,12,11,1,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,30695,162,189,1.1,37310,254,.,.,.
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,13,highest,.,7,complete,NO,0,JJS,13,1,0,12,13,13,12,0,1,147,0,13,154,918.9,4,154,1,154,154,0,0,0,1,154,30695,162,189,1.1,37310,254,771.6,107.9,10
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,14,quality,.,7,complete,NO,0,NN,13,2,1,11,13,1,0,12,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,181,30695,162,189,1.1,37310,254,.,.,.
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,15,of,.,2,complete,NO,0,IN,13,2,1,11,13,2,1,11,1,147,0,14,110,136,0,110,1,110,291,1,1,1,1,110,30695,162,189,1.1,37310,254,.,.,.
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,16,life,.,4,complete,NO,0,NN,13,2,1,11,13,3,2,10,1,147,0,16,182,213.8,4,182,1,182,182,0,0,0,1,182,30695,162,189,1.1,37310,254,101.2,69.3,7
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,17,in,.,2,complete,NO,0,IN,13,2,1,11,13,4,3,9,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,30695,162,189,1.1,37310,254,.,.,.
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,18,the,.,3,complete,NO,0,DT,13,2,1,11,13,5,4,8,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,30695,162,189,1.1,37310,254,.,.,.
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,19,world.,PER,6,complete,NO,0,NN,13,2,1,11,13,6,5,7,1,147,0,17,181,330.5,3,181,1,181,181,0,0,0,1,181,30695,162,189,1.1,37310,254,213.8,87.7,8
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,20,In,.,2,complete,NO,0,IN,13,2,1,11,13,7,6,6,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,30695,162,189,1.1,37310,254,.,.,.
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,21,"particular,",COM,11,complete,NO,0,JJ,13,2,1,11,13,8,7,5,1,147,0,18,345,410.2,0,345,1,345,345,0,0,0,2,482,30695,162,189,1.1,37310,254,330.5,82,8
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,22,Finland,.,7,complete,NO,0,NNP,13,2,1,11,13,9,8,4,1,147,0,19,112,599.7,6,112,1,112,112,0,0,0,2,347,30695,162,189,1.1,37310,254,410.2,132.3,13
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,23,has,.,3,complete,NO,0,VBZ,13,2,1,11,13,10,9,3,1,147,0,20,110,627.8,0,110,1,110,482,1,1,1,1,110,30695,162,189,1.1,37310,254,599.7,32.8,3
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,24,been,.,4,complete,NO,0,VBN,13,2,1,11,13,11,10,2,1,147,0,23,204,715.7,4,204,1,204,204,0,0,0,1,204,30695,162,189,1.1,37310,254,616.7,58.8,6
s007,101,EDUCAT,Part1,2,26,CORRECT,66.67,25,attracting,.,10,complete,NO,0,VBG,13,2,1,11,13,12,11,1,1,147,0,24,218,790.3,6,218,1,218,218,0,0,0,1,218,30695,162,189,1.1,37310,254,715.7,15.8,2
