RECORDING_SESSION_LABEL,item,passage,part,level,TRIAL_INDEX,ANS,total_comp,IA_ID,ia_label,punct,obj_len,part_status,len_check,trac_loss,POS,total_lines,line,line_from_top,line_from_bottom,total_words_line,line_pos,line_pos_from_left,line_pos_from_right,paragraph,part_len,IA_SKIP,ff_index,ff_duration,ff_xpos,ff_lp,gaze,gaze_fix_count,rb_reading,go_past,fp_reg,fp_reg_count,total_reg_out_count,total_fix_count,total_time,trial_total_time,trial_total_fix_count,trial_mean_fix_duration,trial_per_word_fix,trial_rt,trial_per_word_rt,prev_fix_xpos,launch_site_pix,launch_site_char
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,1,"Finland,",COM,8,trac_loss,NO,0,NNP,13,1,0,12,13,1,0,12,1,147,0,2,181,178,6,577,2,.,.,.,.,.,.,.,.,.,.,.,63802,434,.,.,.
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,2,a,.,1,trac_loss,NO,0,DT,13,1,0,12,13,2,1,11,1,147,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63802,434,.,.,.
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,3,country,.,7,trac_loss,NO,0,NN,13,1,0,12,13,3,2,10,1,147,0,4,276,246.1,1,572,2,.,.,.,.,.,.,.,.,.,.,.,63802,434,157.5,85,8
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,4,in,.,2,trac_loss,NO,0,IN,13,1,0,12,13,4,3,9,1,147,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63802,434,.,.,.
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,5,northern,.,8,trac_loss,NO,0,JJ,13,1,0,12,13,5,4,8,1,147,0,6,199,364.1,1,565,2,.,.,.,.,.,.,.,.,.,.,.,63802,434,298.3,65.2,6
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,6,"Europe,",COM,7,trac_loss,NO,0,NNP,13,1,0,12,13,6,5,7,1,147,0,8,263,510.1,5,263,1,.,.,.,.,.,.,.,.,.,.,.,63802,434,423,39.5,4
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,7,has,.,3,trac_loss,NO,0,VBZ,13,1,0,12,13,7,6,6,1,147,0,9,396,577.5,3,396,1,.,.,.,.,.,.,.,.,.,.,.,63802,434,510.1,38.4,4
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,8,been,.,4,trac_loss,NO,0,VBN,13,1,0,12,13,8,7,5,1,147,0,10,154,632.3,4,154,1,.,.,.,.,.,.,.,.,.,.,.,63802,434,577.5,16,2
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,9,ranked,.,6,trac_loss,NO,0,VBN,13,1,0,12,13,9,8,4,1,147,0,11,179,680.6,3,179,1,.,.,.,.,.,.,.,.,.,.,.,63802,434,632.3,17.2,2
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,10,as,.,2,trac_loss,NO,0,IN,13,1,0,12,13,10,9,3,1,147,0,12,169,750.6,2,419,2,.,.,.,.,.,.,.,.,.,.,.,63802,434,680.6,45.9,5
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,11,having,.,6,trac_loss,NO,0,VBG,13,1,0,12,13,11,10,2,1,147,0,14,217,805.6,5,217,1,.,.,.,.,.,.,.,.,.,.,.,63802,434,735.3,23.2,3
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,12,the,.,3,trac_loss,NO,0,DT,13,1,0,12,13,12,11,1,1,147,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63802,434,.,.,.
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,13,highest,.,7,trac_loss,NO,0,JJS,13,1,0,12,13,13,12,0,1,147,0,15,620,910.5,3,620,1,.,.,.,.,.,.,.,.,.,.,.,63802,434,805.6,73.9,7
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,14,quality,.,7,trac_loss,NO,0,NN,13,2,1,11,13,1,0,12,1,147,0,16,148,123.4,7,386,2,.,.,.,.,.,.,.,.,.,.,.,63802,434,.,.,.
s004,101,EDUCAT,Part1,2,22,CORRECT,61.11,15,of,.,2,trac_loss,NO,0,IN,13,2,1,11,13,2,1,11,1,147,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63802,434,.,.,.
