RECORDING_SESSION_LABEL,item,passage,part,level,TRIAL_INDEX,ANS,total_comp,IA_ID,ia_label,punct,obj_len,part_status,len_check,trac_loss,POS,total_lines,line,line_from_top,line_from_bottom,total_words_line,line_pos,line_pos_from_left,line_pos_from_right,paragraph,part_len,IA_SKIP,ff_index,ff_duration,ff_xpos,ff_lp,gaze,gaze_fix_count,rb_reading,go_past,fp_reg,fp_reg_count,total_reg_out_count,total_fix_count,total_time,trial_total_time,trial_total_fix_count,trial_mean_fix_duration,trial_per_word_fix,trial_rt,trial_per_word_rt,prev_fix_xpos,launch_site_pix,launch_site_char
s005,101,EDUCAT,Part1,2,10,CORRECT,88.89,1,"Finland,",COM,8,complete,NO,0,NNP,13,1,0,12,13,1,0,12,1,147,0,2,295,168.9,5,295,1,295,295,0,0,0,1,295,35946,180,200,1.22,44871,305,.,.,.
s005,101,EDUCAT,Part1,2,10,CORRECT,88.89,2,a,.,1,complete,NO,0,DT,13,1,0,12,13,2,1,11,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,139,35946,180,200,1.22,44871,305,.,.,.
s005,101,EDUCAT,Part1,2,10,CORRECT,88.89,3,country,.,7,complete,NO,0,NN,13,1,0,12,13,3,2,10,1,147,0,3,216,259.8,2,216,1,418,557,1,1,1,3,418,35946,180,200,1.22,44871,305,168.9,73.6,7
s005,101,EDUCAT,Part1,2,10,CORRECT,88.89,4,in,.,2,complete,NO,0,IN,13,1,0,12,13,4,3,9,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,35946,180,200,1.22,44871,305,.,.,.
s005,101,EDUCAT,Part1,2,10,CORRECT,88.89,5,northern,.,8,complete,NO,0,JJ,13,1,0,12,13,5,4,8,1,147,0,7,311,419.5,6,311,1,311,311,0,0,0,1,311,35946,180,200,1.22,44871,305,286.1,77.4,8
s005,101,EDUCAT,Part1,2,10,CORRECT,88.89,6,"Europe,",COM,7,complete,NO,0,NNP,13,1,0,12,13,6,5,7,1,147,0,8,132,527.9,6,132,1,132,132,0,0,0,1,132,35946,180,200,1.22,44871,305,419.5,43,4
s005,101,EDUCAT,Part1,2,10,CORRECT,88.89,7,has,.,3,complete,NO,0,VBZ,13,1,0,12,13,7,6,6,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,35946,180,200,1.22,44871,305,.,.,.
s005,101,EDUCAT,Part1,2,10,CORRECT,88.89,8,been,.,4,complete,NO,0,VBN,13,1,0,12,13,8,7,5,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,35946,180,200,1.22,44871,305,.,.,.
s005,101,EDUCAT,Part1,2,10,CORRECT,88.89,9,ranked,.,6,complete,NO,0,VBN,13,1,0,12,13,9,8,4,1,147,0,9,156,648.2,0,309,2,309,309,0,0,0,2,309,35946,180,200,1.22,44871,305,527.9,121.6,12
s005,101,EDUCAT,Part1,2,10,CORRECT,88.89,10,as,.,2,complete,NO,0,IN,13,1,0,12,13,10,9,3,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,35946,180,200,1.22,44871,305,.,.,.
