RECORDING_SESSION_LABEL,item,passage,part,level,TRIAL_INDEX,ANS,total_comp,IA_ID,ia_label,punct,obj_len,part_status,len_check,trac_loss,POS,total_lines,line,line_from_top,line_from_bottom,total_words_line,line_pos,line_pos_from_left,line_pos_from_right,paragraph,part_len,IA_SKIP,ff_index,ff_duration,ff_xpos,ff_lp,gaze,gaze_fix_count,rb_reading,go_past,fp_reg,fp_reg_count,total_reg_out_count,total_fix_count,total_time,trial_total_time,trial_total_fix_count,trial_mean_fix_duration,trial_per_word_fix,trial_rt,trial_per_word_rt,prev_fix_xpos,launch_site_pix,launch_site_char
nns090,101,EDUCAT,Part1,2,26,CORRECT,83.33,1,"Finland,",COM,8,complete,NO,0,NNP,13,1,0,12,13,1,0,12,1,147,0,1,209,170.8,5,1850,5,1850,1850,0,0,0,5,1850,46040,160,288,1.09,52108,354,.,.,.
nns090,101,EDUCAT,Part1,2,26,CORRECT,83.33,2,a,.,1,complete,NO,0,DT,13,1,0,12,13,2,1,11,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,46040,160,288,1.09,52108,354,.,.,.
nns090,101,EDUCAT,Part1,2,26,CORRECT,83.33,3,country,.,7,complete,NO,0,NN,13,1,0,12,13,3,2,10,1,147,0,6,276,238.3,0,421,2,421,421,0,0,0,2,421,46040,160,288,1.09,52108,354,163.2,79.3,8
nns090,101,EDUCAT,Part1,2,26,CORRECT,83.33,4,in,.,2,complete,NO,0,IN,13,1,0,12,13,4,3,9,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,46040,160,288,1.09,52108,354,.,.,.
nns090,101,EDUCAT,Part1,2,26,CORRECT,83.33,5,northern,.,8,complete,NO,0,JJ,13,1,0,12,13,5,4,8,1,147,0,8,271,426.4,6,581,2,581,581,0,0,0,2,581,46040,160,288,1.09,52108,354,305.3,58.2,6
nns090,101,EDUCAT,Part1,2,26,CORRECT,83.33,6,"Europe,",COM,7,complete,NO,0,NNP,13,1,0,12,13,6,5,7,1,147,0,10,306,499.1,4,306,1,306,306,0,0,0,1,306,46040,160,288,1.09,52108,354,381.1,81.4,8
nns090,101,EDUCAT,Part1,2,26,CORRECT,83.33,7,has,.,3,complete,NO,0,VBZ,13,1,0,12,13,7,6,6,1,147,0,11,367,588,3,367,1,367,367,0,0,0,1,367,46040,160,288,1.09,52108,354,499.1,51.4,5
nns090,101,EDUCAT,Part1,2,26,CORRECT,83.33,8,been,.,4,complete,NO,0,VBN,13,1,0,12,13,8,7,5,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,46040,160,288,1.09,52108,354,.,.,.
nns090,101,EDUCAT,Part1,2,26,CORRECT,83.33,9,ranked,.,6,complete,NO,0,VBN,13,1,0,12,13,9,8,4,1,147,0,12,268,663.5,2,268,1,268,268,0,0,0,1,268,46040,160,288,1.09,52108,354,588,61.5,6
nns090,101,EDUCAT,Part1,2,26,CORRECT,83.33,10,as,.,2,complete,NO,0,IN,13,1,0,12,13,10,9,3,1,147,1,.,.,.,.,.,.,.,.,.,.,.,0,0,46040,160,288,1.09,52108,354,.,.,.
nns090,101,EDUCAT,Part1,2,26,CORRECT,83.33,11,having,.,6,complete,NO,0,VBG,13,1,0,12,13,11,10,2,1,147,0,13,360,799,4,360,1,360,360,0,0,0,1,360,46040,160,288,1.09,52108,354,663.5,96,9
nns090,101,EDUCAT,Part1,2,26,CORRECT,83.33,12,the,.,3,complete,NO,0,DT,13,1,0,12,13,12,11,1,1,147,1,.,.,.,.,.,.,.,.,.,.,0,1,23,46040,160,288,1.09,52108,354,.,.,.
